cluster_label,agg_tl_x,agg_tl_y,agg_width,agg_height,boxes_in_cluster
86,373.158976794,415.130159643,49.6132033215,14.8480804643,12
87,111.381712509,459.981215864,51.5460903687,15.2883364982,12
88,301.362636638,369.106860348,40.7834502083,15.1905019575,12
89,345.544999811,429.857615418,24.1953904944,16.5683877463,12
90,111.381712509,415.130159643,51.2100594918,14.8480804643,12
91,373.158976794,369.106860348,49.6132033215,15.1905019575,12
92,190.906728705,415.130159643,16.5683861899,14.8480804643,12
93,235.089091878,369.106860348,16.110966728,15.1905019575,12
94,164.818167444,354.379404574,23.9321133855,15.2883364982,12
95,424.705067163,400.402703869,22.9325034006,14.7274557745,12
96,424.705067163,490.209052259,22.9325034006,14.8480804643,12
97,424.705067163,369.106860348,22.9325034006,15.1905019575,12
98,301.362636638,429.857615418,40.7834502083,16.5683877463,12
99,190.906728705,339.651948799,16.5683861899,14.7274557745,12
100,235.089091878,415.130159643,16.110966728,14.8480804643,12
101,190.906728705,369.106860348,16.5683861899,15.1905019575,12
102,209.316046694,415.130159643,24.0444098813,14.8480804643,12
103,373.158976794,313.522060614,49.6132033215,26.094204821,12
104,235.089091878,460.649904761,15.6535472661,14.7274557745,11
105,255.339341666,446.426003164,43.4820714789,14.7274557745,13
106,165.133683521,460.649904761,23.9321133855,14.7274557745,11
107,373.158976794,460.649904761,49.5212480732,14.7274557745,11
108,209.316046694,460.649904761,24.1567063772,14.7274557745,11
109,301.362636638,460.649904761,40.5004995754,14.7274557745,11
110,190.906728705,460.649904761,16.5683861899,14.7274557745,11
111,345.544999811,460.649904761,24.4586676033,14.7274557745,11
112,111.016763665,446.426003164,51.5460903687,14.7274557745,13
113,424.705067163,460.649904761,23.7738252147,14.7274557745,11
114,164.818167444,243.923486265,24.0444098813,55.0076888232,10
115,424.705067163,242.082554293,23.8529693001,54.6895833505,10
116,301.362636638,243.923486265,40.5004995754,54.3525961649,11
117,345.544999811,242.16972133,24.5565024315,55.6679301093,10
118,373.158976794,242.082554293,49.6132033215,55.2279591543,10
119,164.818167444,446.426003164,23.9321133855,14.7274557745,12
120,191.073961054,446.426003164,16.5683861899,14.4078244304,10
121,209.316046694,446.426003164,24.7968603423,14.4078244304,10
122,190.906728705,244.435271069,16.5683861899,55.2279591543,11
123,424.705067163,446.426003164,22.9325034006,14.7274557745,12
124,301.362636638,446.426003164,40.7834502083,14.7274557745,12
125,345.544999811,446.426003164,24.5565024315,14.4078244304,10
126,235.089091878,242.082554293,16.5683861899,55.7657652509,9
127,235.089091878,446.426003164,16.110966728,14.7274557745,12
128,373.158976794,446.426003164,49.6132033215,14.7274557745,12
129,209.316046694,242.16972133,24.7968603423,56.2705757014,10
130,345.544999811,297.310513447,24.4586676033,17.6102416582,9
131,372.259253708,297.310513447,49.7051585698,17.6102416582,9
132,163.847485689,297.310513447,23.9321133855,17.6102416582,9
133,111.016763665,297.310513447,50.8740286149,17.6102416582,9
134,425.066055692,297.310513447,23.9321133855,17.6102416582,9
135,209.316046694,297.310513447,25.4370143074,17.6102416582,9
136,255.090300282,297.310513447,43.4820714789,17.6102416582,9
137,301.362636638,297.310513447,41.0664008412,17.6102416582,9
138,190.906728705,297.310513447,16.5683861899,17.6102416582,9
139,235.089091878,297.310513447,17.6102408998,17.6102416582,9
